PROJEKT;PROJEKT_EJER_KONTOR
214200;10
214200;10
214200;10
214200;10
214201;10
214201;10
214201;10
214201;10
214201;10
214210;9
214210;9
214211;9
214211;9
214213;10
214213;10
214213;10
214301;1
214301;1
214301;1
214301;1
214301;1
214301;1
214301;1
214310;1
214310;1
214310;1
214310;1
214410;10
214410;10
214410;10
215510;11
215510;11
215510;11
215510;11
215510;11
215511;11
215511;11
215511;11
215512;11
215512;11
215513;11
215513;11
216000;3
216002;3
216002;3
216100;3
216100;3
216700;8
216700;8
216700;8
216810;11
216810;11
216810;11
216810;11
216810;11
217000;11
217211;11
217211;11
217211;11
217401;11
217401;11
217410;11
217410;11
217410;11
217410;11
217500;11
217500;11
217500;11
217500;11
217500;11
217500;11
217511;11
217511;11
217511;11
219110;23
219110;23
219110;23
220110;11
220110;11
220110;11
220110;11
220110;11
220110;11
220110;11
220110;11
220110;11
221101;11
221101;11
239550;8
239550;8
239550;8
239550;8
239550;8
239550;8
239550;8
239550;8
239550;8
239550;8
239550;8
239550;8
239550;8
239550;8
239550;8
239550;8
239550;8
241310;8
241310;8
241310;8
241310;8
241310;8
241310;8
241310;8
241310;8
241310;8
242210;8
242210;8
242210;8
242210;8
242210;8
242210;8
242210;8
242310;8
242310;8
242310;8
242310;8
242310;8
242310;8
242310;8
242310;8
242310;8
242310;8
242310;8
242310;8
242652;12
242652;12
242652;12
242652;12
242652;12
242652;12
242652;12
242901;8
242901;8
242901;8
242901;8
242901;8
242901;8
242901;8
242901;8
242901;8
242901;8
242901;8
242901;8
242901;8
242901;8
242901;8
242901;8
242901;8
242901;8
242901;8
242901;8
242901;8
242901;8
242901;8
242901;8
242901;8
242902;23
242902;23
242902;23
242902;23
242902;23
242902;23
242902;23
242902;23
242902;23
242903;23
242903;23
242903;23
242903;23
242903;23
242903;23
242904;23
242904;23
242904;23
242904;23
242904;23
242904;23
242904;23
242904;23
242905;23
242905;23
242905;23
242905;23
242905;23
242905;23
242905;23
242905;23
242905;23
242906;8
242906;8
242906;8
242906;8
242906;8
242906;8
242906;8
242906;8
242906;8
242906;8
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242907;23
242908;23
242908;23
242908;23
242908;23
242908;23
242908;23
242908;23
242908;23
242908;23
242908;23
242909;23
242909;23
242909;23
242909;23
242910;23
242910;23
242910;23
242910;23
242910;23
242910;23
242910;23
251151;1
251151;1
251151;1
251151;1
251151;1
251152;1
251152;1
251152;1
251152;1
251152;1
260003;8
260003;8
260003;8
260003;8
260003;8
260003;8
260003;8
260003;8
260003;8
260003;8
260206;10
260206;10
260206;10
260206;10
260206;10
260206;10
260901;9
260901;9
260901;9
260901;9
260901;9
260901;9
261210;9
261210;9
261210;9
261210;9
261210;9
261210;9
261210;9
261210;9
261210;9
261210;9
261215;9
261220;9
261220;9
261220;9
263001;26
263001;26
263001;26
263001;26
263002;26
271151;1
271151;1
271151;1
271151;1
271151;1
271153;1
271153;1
271153;1
271153;1
271153;1
271153;1
280001;4
280101;10
280101;10
280101;10
280101;10
280250;1
280250;1
280250;1
280250;1
280250;1
280250;1
280250;1
280250;1
280250;1
280250;1
280250;1
280250;1
280250;1
280250;1
280250;1
280250;1
280250;1
280250;1
280250;1
280250;1
280250;1
280250;1
280250;1
280250;1
280250;1
280250;1
280250;1
280250;1
280250;1
280250;1
280250;1
280250;1
280250;1
280250;1
280250;1
280250;1
280250;1
280300;4
280450;10
280450;10
280450;10
280450;10
280500;4
280500;4
280500;4
280600;10
280600;10
280600;10
280600;10
280600;10
280600;10
280600;10
280600;10
280611;11
280611;11
280611;11
280611;11
280611;11
280701;1
280701;1
280701;1
280701;1
280701;1
280702;10
280702;10
280702;10
280702;10
280702;10
280703;10
280703;10
280703;10
280703;10
280703;10
280705;1
280705;1
280705;1
280801;10
280801;10
280801;10
280803;10
280803;10
280803;10
280803;10
